Iteration,Start Point,End Point,Path Length
1,"(1055, 1478)","(1676, 1899)",0
2,"(32, 1469)","(1540, 364)",0
3,"(758, 1136)","(1251, 894)",0
4,"(352, 766)","(1409, 389)",4160.402738128358
5,"(287, 906)","(1297, 950)",3040.484773759877
6,"(527, 1820)","(469, 642)",1822.750575575452
7,"(1620, 138)","(1578, 1438)",0
8,"(1447, 858)","(1324, 809)",0
9,"(286, 1175)","(803, 390)",0
10,"(1067, 572)","(1091, 1630)",4802.541915159337
11,"(959, 363)","(1236, 1296)",0
12,"(255, 374)","(1511, 1332)",0
13,"(1338, 546)","(1686, 207)",0
14,"(695, 921)","(1954, 1809)",0
15,"(671, 98)","(101, 504)",884.4722215136454
16,"(1132, 782)","(1078, 1238)",0
17,"(1296, 250)","(753, 91)",892.0285706997494
18,"(341, 837)","(592, 1229)",0
19,"(475, 1940)","(1199, 1070)",2186.5394641809007
20,"(1022, 1515)","(321, 1960)",0
21,"(950, 624)","(404, 1842)",0
22,"(657, 1917)","(462, 312)",2407.534413546989
23,"(157, 72)","(1344, 465)",4850.063776460034
24,"(1669, 598)","(1700, 1162)",0
25,"(1693, 256)","(1516, 1631)",0
26,"(876, 502)","(1421, 247)",0
27,"(578, 1548)","(1094, 738)",0
28,"(363, 1505)","(1022, 1157)",0
29,"(832, 1779)","(1388, 1577)",0
30,"(574, 268)","(20, 1932)",0
31,"(641, 1206)","(1080, 428)",0
32,"(597, 1039)","(1181, 555)",0
33,"(1178, 1342)","(676, 407)",3541.523445727337
34,"(719, 1664)","(1659, 320)",0
35,"(445, 365)","(1779, 916)",0
36,"(845, 670)","(147, 494)",0
37,"(1438, 888)","(186, 1725)",0
38,"(408, 1404)","(1607, 1136)",0
39,"(1601, 1386)","(1496, 361)",0
40,"(1676, 1956)","(1518, 1663)",0
41,"(1585, 1085)","(692, 446)",0
42,"(19, 873)","(42, 688)",229.9066376115484
43,"(1125, 73)","(424, 1484)",0
44,"(1564, 508)","(1307, 1367)",0
45,"(747, 1771)","(1297, 1671)",0
46,"(849, 835)","(291, 1783)",0
47,"(656, 672)","(232, 786)",0
48,"(1511, 909)","(1297, 278)",0
49,"(1968, 924)","(565, 1208)",0
50,"(877, 1223)","(414, 1458)",0
51,"(225, 108)","(1495, 252)",0
52,"(1770, 1085)","(28, 1175)",0
53,"(1460, 644)","(1701, 1859)",0
54,"(1634, 12)","(438, 272)",0
55,"(929, 185)","(161, 563)",1333.398195108952
56,"(1528, 418)","(1320, 1221)",0
57,"(246, 901)","(1042, 1953)",2922.685783886657
58,"(139, 150)","(292, 467)",1037.8935777509557
59,"(1232, 1992)","(1182, 1268)",0
60,"(1397, 1362)","(895, 828)",0
61,"(1831, 266)","(791, 457)",0
62,"(1892, 114)","(1920, 1056)",0
63,"(94, 1540)","(1519, 1000)",0
64,"(1185, 1482)","(1947, 1833)",0
65,"(1443, 1759)","(673, 1313)",0
66,"(1279, 904)","(1356, 444)",658.0336213336317
67,"(381, 171)","(1400, 95)",5338.173516239468
68,"(1518, 1265)","(1486, 1977)",0
69,"(460, 579)","(1375, 1050)",0
70,"(17, 1118)","(767, 107)",1778.1109652686625
71,"(1487, 1189)","(177, 968)",0
72,"(1910, 1480)","(153, 989)",0
73,"(81, 1114)","(541, 739)",0
74,"(1376, 995)","(1058, 552)",0
75,"(554, 1334)","(716, 323)",0
76,"(888, 1434)","(1002, 602)",0
77,"(1810, 451)","(1153, 1798)",0
78,"(1257, 1795)","(429, 1205)",0
79,"(624, 1530)","(554, 1887)",0
80,"(1218, 341)","(1968, 633)",0
81,"(1851, 1813)","(632, 640)",0
82,"(775, 1597)","(333, 719)",0
83,"(532, 450)","(444, 1343)",1509.4936495384577
84,"(845, 1244)","(904, 1481)",0
85,"(1055, 230)","(419, 306)",2076.975972319865
86,"(214, 179)","(1612, 509)",0
87,"(164, 809)","(539, 1817)",1421.6113985445486
88,"(1811, 1275)","(1242, 1651)",0
89,"(912, 1668)","(1130, 296)",0
90,"(1312, 68)","(294, 535)",0
91,"(209, 1882)","(1188, 1271)",2428.754759657521
92,"(307, 249)","(870, 1976)",3208.031021678185
93,"(806, 1577)","(1674, 62)",0
94,"(782, 1057)","(779, 1535)",0
95,"(1453, 883)","(1926, 1245)",0
96,"(1840, 1666)","(494, 712)",0
97,"(489, 1096)","(508, 815)",374.8010819142777
98,"(92, 1148)","(155, 1496)",466.57063453597874
99,"(714, 323)","(498, 1875)",0
100,"(1489, 1287)","(1049, 52)",0
101,"(999, 816)","(557, 281)",0
102,"(695, 968)","(1009, 1569)",0
103,"(1161, 974)","(1524, 901)",0
104,"(1958, 1001)","(1608, 13)",0
105,"(1319, 849)","(192, 601)",3504.5284963612253
106,"(776, 1678)","(960, 1849)",0
107,"(576, 1291)","(1419, 1528)",0
108,"(1910, 745)","(245, 1359)",0
109,"(680, 877)","(147, 1177)",0
110,"(583, 38)","(585, 1164)",0
111,"(1350, 231)","(745, 1183)",0
112,"(1784, 767)","(229, 1414)",0
113,"(98, 1501)","(1673, 456)",0
114,"(156, 1387)","(262, 1371)",234.7350647362946
115,"(554, 1042)","(184, 124)",0
116,"(15, 1758)","(1013, 771)",0
117,"(992, 1409)","(306, 786)",2476.1567799110708
118,"(482, 1778)","(490, 1164)",0
119,"(337, 1690)","(566, 1415)",0
120,"(814, 684)","(1787, 1644)",0
121,"(717, 231)","(935, 475)",0
122,"(897, 359)","(1684, 1258)",0
123,"(1338, 1711)","(241, 948)",0
124,"(1863, 1117)","(1040, 977)",0
125,"(598, 1231)","(551, 1584)",0
126,"(1173, 292)","(30, 646)",1804.6896090313517
127,"(927, 1701)","(31, 407)",2755.9923497107297
128,"(613, 869)","(38, 354)",0
129,"(634, 475)","(1969, 1897)",0
130,"(1035, 1156)","(1502, 11)",0
131,"(391, 1296)","(1919, 98)",0
132,"(871, 77)","(1934, 1392)",0
133,"(771, 1942)","(1970, 1060)",0
134,"(1830, 1403)","(1179, 1733)",0
135,"(1182, 1455)","(1745, 1485)",0
136,"(912, 480)","(1136, 1462)",0
137,"(1687, 1165)","(1666, 263)",0
138,"(417, 1377)","(183, 1849)",888.79812332145
139,"(961, 342)","(1849, 947)",0
140,"(958, 1843)","(883, 1486)",0
141,"(1381, 1824)","(900, 891)",0
142,"(155, 915)","(1259, 1232)",0
143,"(1227, 838)","(1000, 405)",0
144,"(1712, 1594)","(129, 1066)",0
145,"(1631, 1057)","(1042, 961)",0
146,"(408, 1014)","(1351, 504)",0
147,"(531, 1845)","(259, 728)",1582.3880938411871
148,"(968, 251)","(1078, 1021)",0
149,"(1605, 1535)","(1071, 401)",0
150,"(645, 1720)","(1603, 680)",0
151,"(5, 530)","(1744, 640)",0
152,"(1302, 758)","(1850, 1517)",0
153,"(1993, 1864)","(1052, 358)",0
154,"(1908, 663)","(281, 1781)",0
155,"(1126, 1214)","(100, 1781)",0
156,"(839, 1808)","(830, 1470)",0
157,"(345, 180)","(814, 529)",0
158,"(578, 1533)","(283, 1173)",0
159,"(776, 1948)","(1357, 567)",1923.662263820884
160,"(4, 1249)","(627, 1011)",0
161,"(1721, 488)","(1440, 33)",0
162,"(1390, 1985)","(223, 201)",0
163,"(824, 854)","(1588, 1363)",0
164,"(1178, 650)","(1010, 428)",0
165,"(688, 325)","(277, 392)",0
166,"(178, 868)","(1485, 682)",0
167,"(1153, 1981)","(1572, 18)",0
