Iteration,Start Point,End Point,Path Length
1,"(1160, 1839)","(873, 1678)",586.9503602129462
2,"(557, 1364)","(6, 928)",931.9646455628214
3,"(925, 839)","(784, 1639)",1074.917964368596
4,"(1193, 225)","(15, 1616)",2758.3994205981708
5,"(659, 1299)","(554, 9)",1737.3586565896642
6,"(1835, 66)","(1759, 1180)",1445.0205614730394
7,"(1817, 1189)","(1200, 23)",2175.380084614463
8,"(1226, 996)","(1976, 1054)",980.1534623807778
9,"(810, 669)","(1194, 1931)",1913.5201281971529
10,"(985, 503)","(1939, 126)",1626.270344835096
11,"(207, 140)","(227, 500)",474.666088965484
12,"(284, 1276)","(914, 1802)",1154.9129137347131
13,"(1770, 170)","(1062, 1116)",1624.6256838944234
14,"(1172, 1093)","(562, 409)",1254.3687578574293
15,"(1341, 85)","(1433, 1632)",2382.2745289171667
16,"(1244, 599)","(124, 1984)",2726.7396077558287
17,"(1548, 311)","(756, 1307)",1920.4906909456301
18,"(480, 1284)","(1302, 581)",1676.2531008923934
19,"(418, 1912)","(1500, 579)",2451.5537495307412
20,"(227, 916)","(1907, 1728)",2698.5020177026017
21,"(663, 567)","(397, 1055)",681.9036790187207
22,"(439, 580)","(831, 1577)",1448.5058428472778
23,"(1534, 443)","(352, 1260)",2197.906996549042
24,"(1032, 242)","(1590, 829)",1436.1038225937248
25,"(802, 99)","(1507, 967)",1613.6429278371263
26,"(1167, 728)","(435, 397)",1032.9352083112988
27,"(255, 692)","(1413, 1492)",2054.3384540541333
28,"(471, 1204)","(144, 888)",643.3645737753193
29,"(1286, 739)","(1726, 1229)",927.4255403194197
30,"(368, 1974)","(1397, 505)",2569.2644276493866
31,"(1568, 1501)","(577, 323)",2882.288814266991
32,"(1985, 625)","(999, 57)",1860.0886706920771
33,"(923, 154)","(1475, 172)",1134.645886429954
34,"(490, 1289)","(1392, 1488)",1288.2215715998154
35,"(625, 1570)","(238, 744)",1135.5453813665656
36,"(1341, 1068)","(1025, 1332)",550.6660889654842
37,"(709, 1431)","(993, 591)",1138.0600999923267
38,"(1443, 152)","(94, 878)",2293.179074487673
39,"(1688, 1640)","(515, 1457)",1567.8733752154258
40,"(878, 341)","(1868, 1768)",2432.6420612853117
41,"(866, 876)","(1623, 1901)",1692.9099551418858
42,"(1903, 86)","(437, 386)",2333.4999256615893
43,"(613, 802)","(1965, 1401)",2179.7232303649685
44,"(1464, 1690)","(550, 1267)",1395.2337649086357
45,"(1078, 400)","(1380, 1404)",1511.6479784710089
46,"(1123, 849)","(652, 1905)",1561.9028124669483
47,"(419, 310)","(1581, 926)",1909.4196231337646
48,"(1417, 1691)","(1242, 523)",1948.260243567331
49,"(1430, 305)","(1250, 1882)",2419.1862171625985
50,"(1355, 921)","(1876, 1670)",1241.2144289248781
51,"(604, 1497)","(1713, 553)",2310.475539043956
52,"(556, 1158)","(1747, 610)",1941.3729419395393
53,"(1752, 507)","(933, 399)",1198.8418459228478
54,"(181, 537)","(132, 137)",564.0508652763347
55,"(653, 448)","(1201, 1090)",1716.7678195181547
56,"(1118, 1302)","(1365, 1016)",502.83766184073784
57,"(752, 1983)","(1500, 113)",2756.234990397848
58,"(1194, 369)","(466, 1036)",1299.410388417772
59,"(1881, 1717)","(94, 139)",4596.152088214564
60,"(1823, 1868)","(288, 577)",2799.756851698534
61,"(1500, 1636)","(1489, 836)",1058.1067811865523
62,"(1620, 1469)","(1920, 253)",1634.6673144547665
63,"(402, 857)","(1746, 1238)",1877.7333316327495
64,"(160, 1830)","(414, 1037)",1161.1017305526698
65,"(1692, 849)","(733, 1146)",1517.6896090313517
66,"(1746, 1396)","(1540, 1915)",695.3473298326167
67,"(1050, 1066)","(838, 840)",479.0264786586945
68,"(1055, 1966)","(1976, 1852)",1237.7119036079368
69,"(984, 685)","(167, 822)",1090.621499812314
70,"(1710, 502)","(404, 45)",2040.4095218659995
71,"(1023, 1214)","(1545, 581)",1087.5037508062226
72,"(71, 1490)","(153, 1756)",362.5584412271583
73,"(1592, 1215)","(1010, 1872)",1114.0306627408042
74,"(1733, 1712)","(1802, 1712)",86.15432893255064
75,"(84, 1011)","(1591, 1941)",2470.222797089047
76,"(360, 215)","(616, 941)",987.4499269370599
77,"(990, 1202)","(235, 1380)",1031.0773439350296
78,"(1330, 1106)","(1485, 1628)",690.1341263970202
79,"(1122, 1509)","(92, 56)",3313.8422048602274
80,"(389, 1304)","(564, 1879)",748.4894654563478
81,"(1975, 1340)","(443, 1820)",2082.7648609253224
82,"(462, 1477)","(1115, 1921)",1109.2438661764006
83,"(572, 1936)","(659, 520)",1798.1282092113652
84,"(1387, 348)","(659, 179)",1155.1778489984179
85,"(1926, 1532)","(739, 1943)",1910.272436876151
86,"(1461, 1713)","(682, 1530)",1150.1017305526698
87,"(1610, 177)","(111, 1468)",3279.494008475815
88,"(1213, 703)","(1435, 1771)",1558.8611819066057
89,"(1395, 1217)","(1579, 1212)",239.73506473629487
90,"(1492, 515)","(236, 1416)",2399.671498536837
91,"(1254, 1344)","(1287, 1510)",221.5929291125637
92,"(1325, 478)","(1273, 1884)",2095.367891305652
93,"(1752, 975)","(1153, 323)",1201.5697679842058
94,"(1803, 592)","(560, 1361)",2360.6126240337935
95,"(1732, 293)","(1850, 1881)",2263.090762733108
96,"(547, 580)","(916, 1617)",1386.854039231668
97,"(478, 143)","(1527, 349)",1498.8489885977858
98,"(1434, 319)","(321, 1355)",2640.1222920256437
99,"(1208, 1725)","(632, 613)",1826.064284074437
100,"(49, 471)","(1493, 914)",2319.5466068558203
101,"(782, 806)","(788, 123)",916.6854249492417
102,"(947, 499)","(487, 1476)",1506.748483534397
103,"(1174, 1175)","(956, 1335)",466.9848480983518
104,"(1789, 1251)","(1942, 672)",847.8275605729729
105,"(1549, 1525)","(1040, 201)",2211.941484434445
106,"(1496, 1534)","(1911, 1282)",606.6782822743041
107,"(1463, 1556)","(166, 136)",3342.14372005038
108,"(121, 505)","(1471, 269)",1917.9120471829408
109,"(402, 842)","(1246, 38)",1494.3759005323668
110,"(1103, 815)","(1810, 991)",1014.8935777509558
111,"(1585, 461)","(705, 315)",1319.5230867899804
112,"(1118, 1450)","(430, 691)",1296.5403307326833
113,"(678, 1580)","(752, 1517)",124.13708498984745
114,"(1213, 1523)","(417, 4)",2895.384268696496
115,"(1387, 324)","(223, 610)",1923.6795077635866
